title,body,labels,milestone
"Evidence Linking","## Description
Allow linking text to evidence claims.

## Acceptance Criteria
- [ ] Select text and link to existing claim
- [ ] Create new claim from selected text
- [ ] Evidence linking via selection → modal
- [ ] Mark as interpretation (excluded from reliability tracking)
- [ ] Keyboard shortcut: Cmd/Ctrl + L

## Priority
High

## Type
Feature","draft-mode,evidence","Phase 4: Draft Editor"
"Text Highlighting","## Description
Implement color-coded highlighting for evidence grounding.

## Acceptance Criteria
- [ ] Green: Linked to verified/sourced evidence
- [ ] Yellow: Weak source
- [ ] Red/Orange: Looks like a claim but no evidence linked
- [ ] No highlight: Narrative/interpretation

## Priority
Medium

## Type
Feature","draft-mode,ui","Phase 4: Draft Editor"
"Evidence & Warnings Panel","## Description
Implement the right panel showing evidence for current scene.

## Acceptance Criteria
- [ ] Evidence used in current scene
- [ ] Warnings for unlinked claims
- [ ] Suggestions (link, hedge, reframe as interpretation)
- [ ] Non-blocking suggestions

## Priority
Medium

## Type
Feature","draft-mode,ui","Phase 4: Draft Editor"
"LLM Integration Layer","## Description
Set up LLM integration with appropriate model selection.

## Acceptance Criteria
- [ ] API integration for small model (4o-mini) - claim detection, tighten/hedge
- [ ] API integration for large model (GPT-4o, Claude) - full review
- [ ] Cost tracking per story
- [ ] Error handling and retry logic

## Priority
High

## Type
Infrastructure","backend,ai","Phase 5: Review System"
"TEST Mode UI Layout","## Description
Build the TEST mode interface.

## Acceptance Criteria
- [ ] Review report display area
- [ ] Priority fixes list with navigation
- [ ] Run review button
- [ ] Report history access

## Priority
High

## Type
Feature","test-mode,ui","Phase 5: Review System"
"Review Generation","## Description
Generate comprehensive reliability and craft reviews.

## Acceptance Criteria
- [ ] Factual grounding assessment (status + specific issues)
- [ ] Reliability counts: verified, sourced, unlinked, contested
- [ ] Structure & flow observations (not grades)
- [ ] Voice & framing observations (not grades)
- [ ] Ethics/harm flags for consideration
- [ ] No numeric scores

## Priority
High

## Type
Feature","test-mode,ai","Phase 5: Review System"
"Priority Fixes List","## Description
Actionable fix suggestions.

## Acceptance Criteria
- [ ] Top 3 actionable issues with locations
- [ ] Click to navigate to relevant paragraph
- [ ] Track which fixes have been addressed
- [ ] No automatic edits - author control

## Priority
High

## Type
Feature","test-mode,ui","Phase 5: Review System"
"Report History","## Description
Save and compare previous review reports.

## Acceptance Criteria
- [ ] Save review reports with timestamps
- [ ] View previous reports
- [ ] Compare reports over time

## Priority
Medium

## Type
Feature","test-mode,storage","Phase 5: Review System"
"People/Character Panel","## Description
Implement person/character tracking.

## Acceptance Criteria
- [ ] Person card minimal view (name, role, first appears)
- [ ] Person card expanded view (arc, details, speech patterns)
- [ ] Track appearances across scenes
- [ ] Source reliability vs character reliability distinction
- [ ] Link to evidence bundles

## Priority
Medium

## Type
Feature","craft,ui","Phase 6: Craft Layer"
"Theme Tracking","## Description
Implement theme management.

## Acceptance Criteria
- [ ] Create themes manually (system doesn't auto-detect)
- [ ] Theme descriptions
- [ ] Track theme appearances in scenes

## Priority
Medium

## Type
Feature","craft,ui","Phase 6: Craft Layer"
"Arc Definitions","## Description
Track character and narrator arcs.

## Acceptance Criteria
- [ ] Person arc (starting state, ending state, turning point)
- [ ] Narrator arc for first-person pieces
- [ ] Optional - not all pieces have clean arcs

## Priority
Medium

## Type
Feature","craft,ui","Phase 6: Craft Layer"
"Craft Observations in Review","## Description
Include craft observations in TEST mode review.

## Acceptance Criteria
- [ ] Scene function observations
- [ ] Pacing observations
- [ ] Setup/payoff analysis
- [ ] Telling vs showing identification
- [ ] Observations, not prescriptions

## Priority
Medium

## Type
Feature","test-mode,ai","Phase 6: Craft Layer"
"Assistance Actions","## Description
Implement author-triggered writing assistance.

## Acceptance Criteria
- [ ] Link Evidence: Connect selected text to a claim
- [ ] Tighten: LLM rewrites paragraph more concisely
- [ ] Add Hedging: LLM adds uncertainty language to weak claims
- [ ] Mark as Interpretation: Remove from reliability tracking

## Priority
Medium

## Type
Feature","draft-mode,ai","Phase 7: Polish"
"Keyboard Shortcuts","## Description
Implement keyboard-first workflow.

## Acceptance Criteria
- [ ] Cmd/Ctrl + L: Link selected text to evidence
- [ ] Cmd/Ctrl + I: Mark selected text as interpretation
- [ ] Cmd/Ctrl + Enter: Run TEST review
- [ ] Cmd/Ctrl + 1-4: Switch modes

## Priority
Medium

## Type
Feature","ux,keyboard","Phase 7: Polish"
"Progressive Disclosure UI","## Description
Implement information hierarchy.

## Acceptance Criteria
- [ ] Surface level: Scene list, word counts, overall status (always visible)
- [ ] Working level: Bundles, current paragraph's evidence, beat assignments
- [ ] Deep level: Individual claims, full provenance chain (on explicit request)

## Priority
Medium

## Type
Feature","ux,ui","Phase 7: Polish"
"Data Persistence","## Description
Implement reliable data storage.

## Acceptance Criteria
- [ ] Local storage for POC (IndexedDB)
- [ ] Auto-save every 30 seconds
- [ ] Export story as JSON
- [ ] Import story from JSON
- [ ] Backup/restore functionality

## Priority
High

## Type
Infrastructure","backend,storage","Phase 7: Polish"
"Self-Testing with Real Story","## Description
Test the application with a real story.

## Acceptance Criteria
- [ ] Write a complete story using the tool
- [ ] Document friction points
- [ ] Log bugs found
- [ ] Create improvement suggestions

## Priority
High

## Type
Task","testing,documentation","Phase 7: Polish"
"Open Questions Testing Tracker","## Description
Track answers to open questions during testing.

## Questions to Track
1. Beat utility: Do authors use beat assignments, or just scenes?
2. Form distinction: Does marking a piece 'personal' vs 'reported' change behavior usefully?
3. Length guidance: Is advisory length helpful, or does it create pressure?
4. Non-linear support: Can the tool accommodate pieces that don't arc conventionally?
5. Interpretation marking: Do authors use 'mark as interpretation' to reduce noise?

## Priority
Low

## Type
Documentation","testing,documentation","Phase 7: Polish"
